Reverse the take,Aaron Richards,@ARAudio_
Disable 'Preserve pitch when changing playrate' and stretch the take,Aaron Richards,@ARAudio_
Re-order your plugin chain,Aaron Richards,Twitter: @ARAudio_
Place FX after your reverbs,Aaron Richards,Twitter: @ARAudio_
Add the sound of an animal,Lewis Thompson,Twitter: @lewisthompsonsound
Add the same plugin 5 times in a row,Lewis Thompson,Twitter: @lewisthompsonsound
Encode a secret language into it,Lewis Thompson,Twitter: @lewisthompsonsound
Use only a single plugin but 5 instances of it,Greg Lester,Twitter: @itsgreglester
Modulate a parameter of a plugin with the output of the sound you're working on,Greg Lester,Twitter: @itsgreglester
Create a convolution reverb out of the sound you're making and add it to another sound,Greg Lester,Twitter: @itsgreglester
Auto Detect Tempo,Parag Oswal,Twitter: @Soundgestures
Noise Removal,Parag Oswal,Twitter: @Soundgestures
Try another octave,Ray Elliott,Youtube: @ElliottMusic
Layer with something of another frequency,Ray Elliott,Youtube: @ElliottMusic
Don't be so literal with sound, try something unexpected,Ray Elliott,Youtube: @ElliottMusic
Keep it RRL - Re-Pitch, Reverse & Layer,Max Ellis,LinkedIn: www.linkedin.com/in/maxellisaudiodesigner/
Have a coffee break :),Max Ellis,LinkedIn: www.linkedin.com/in/maxellisaudiodesigner/
Synthesize and layer an animal sound!,Max Ellis,LinkedIn: www.linkedin.com/in/maxellisaudiodesigner/
Focus on the point in space furthest from you. Take 5 deep breaths, filling and emptying your lungs each time,Duncan MacKinnon,Twitter: @kinnonkinnon
Render what you have and use it to start something new,Duncan MacKinnon,Twitter: @kinnonkinnon
The next thing you make will be better,Duncan MacKinnon,Twitter: @kinnonkinnon
